ชขจ	ฆซฉ	ษศข
จตห	อธย	ซศธ
จนย	บฒศ	กดฮ
ฟกห	ฎฑส	ษกฆ
ผปซ	วธฮ	พธษ
สงฝ	ชบษ	ดกฆ
สรข	ฏษร	นรฐ
สยว	รษฮ	ซงฬ
กหฟ	ฆฟน	ฑพก
ดปห	ซยฑ	ฮคจ
มทส	ขญณ	ฆซฉ
ลบย	ศดห	อธย
งยว	ฟฆก	บฒศ
พฟห	ฉฮธ	ฎฑส
ปฮผ	ญฐช	วธฮ
ทฒส	ทมฆ	ชบษ
ศนห	ฆกณ	ฏษร
ฐบว	ยฐท	รษฮ
พธผ	มฬฝ	ฆฟน
สมข	งบธ	ซยฑ
ฎฑธ	ษศข	ขญณ
ฆฏณ	ซศธ	ศดห
ฉฮศ	กดฮ	ฟฆก
ซฐญ	ษกฆ	ฉฮธ
ศซณ	พธษ	ญฐช
ฆดว	ดกฆ	ทมฆ
งดว	นรฐ	ฆกณ
ฆฏฮ	ซงฬ	ยฐท
จณษ	ฑพก	มฬฝ
ซขฐ	ฮคจ	งบธ
ษศข	ฎฑธ	มทส
ซศธ	ฆฏณ	ลบย
กดฮ	ฉฮศ	งยว
ษกฆ	ซฐญ	พฟห
พธษ	ศซณ	ปฮผ
ดกฆ	ฆดว	ทฒส
นรฐ	งดว	ศนห
ซงฬ	ฆฏฮ	ฐบว
ฑพก	จณษ	พธผ
ฮคจ	ซขฐ	สมข
ขญณ	มทส	ฎฑธ
ศดห	ลบย	ฆฏณ
ฟฆก	งยว	ฉฮศ
ฉฮธ	พฟห	ซฐญ
ญฐช	ปฮผ	ศซณ
ทมฆ	ทฒส	ฆดว
ฆกณ	ศนห	งดว
ยฐท	ฐบว	ฆฏฮ
มฬฝ	พธผ	จณษ
งบธ	สมข	ซขฐ
ฆซฉ	ชขจ	มทส
อธย	จตห	ลบย
บฒศ	จนย	งยว
ฎฑส	ฟกห	พฟห
วธฮ	ผปซ	ปฮผ
ชบษ	สงฝ	ทฒส
ฏษร	สรข	ศนห
รษฮ	สยว	ฐบว
ฆฟน	กหฟ	พธผ
ซยฑ	ดปห	สมข
